No,Company,Symbol,Weight,Price,Chg,% Chg
1,Nvidia,NVDA,7.4%,186.25999999999999,4.0999999999999996,-2.2%
2,Apple Inc.,AAPL,6.3%,262.81999999999999,3.2400000000000002,-1.2%
3,Microsoft,MSFT,6.3%,523.61000000000001,3.0499999999999998,-0.6%
4,Amazon,AMZN,3.9%,224.21000000000001,3.1200000000000001,-1.4%
5,Meta Platforms,META,3.0%,738.36000000000001,4.3600000000000003,-0.6%
6,Broadcom,AVGO,2.7%,354.13,9.8399999999999999,-2.9%
7,Alphabet Inc. (Class A),GOOGL,2.6%,259.92000000000002,6.8399999999999999,-2.7%
8,Alphabet Inc. (Class C),GOOG,2.5%,260.50999999999999,6.7800000000000002,-2.7%
9,"Tesla, Inc.",TSLA,2.4%,433.72000000000003,-15.26,-3.4%
10,Berkshire Hathaway,BRK.B,1.7%,492.10000000000002,1.9399999999999999,-0.4%
11,Walmart,WMT,1.4%,106.17,-0.68999999999999995,-0.7%
12,JPMorgan Chase,JPM,1.3%,300.44,5.9000000000000004,-2.0%
13,Oracle Corporation,ORCL,1.3%,283.32999999999998,3.2599999999999998,-1.2%
14,Lilly (Eli),LLY,1.2%,825.45000000000005,4.4100000000000001,-0.5%
15,Visa Inc.,V,1.1%,347.38,1.4199999999999999,-0.4%
16,Mastercard,MA,0.8%,573.66999999999996,-0.10000000000000001,-0.0%
17,ExxonMobil,XOM,0.8%,115.39,-0.58999999999999997,-0.5%
18,Netflix,NFLX,0.8%,1094.69,-18.899999999999999,-1.7%
19,Johnson & Johnson,JNJ,0.8%,190.40000000000001,-2.0699999999999998,-1.1%
20,Palantir Technologies,PLTR,0.7%,184.63,4.1500000000000004,-2.3%
21,Costco,COST,0.7%,932.13999999999999,-9.9100000000000001,-1.1%
22,Advanced Micro Devices,AMD,0.7%,252.91999999999999,17.93,-7.6%
23,AbbVie,ABBV,0.7%,227.99000000000001,-0.26000000000000001,-0.1%
24,Bank of America,BAC,0.6%,52.57,0.81000000000000005,-1.6%
25,Home Depot (The),HD,0.6%,386.68000000000001,1.6499999999999999,-0.4%
26,Procter & Gamble,PG,0.6%,152.49000000000001,0.28000000000000003,-0.2%
27,UnitedHealth Group,UNH,0.5%,362.5,2.0499999999999998,-0.6%
28,GE Aerospace,GE,0.5%,303.87,-2.52,-0.8%
29,Chevron Corporation,CVX,0.5%,155.56,-1,-0.6%
30,Coca-Cola Company (The),KO,0.5%,69.709999999999994,-0.23000000000000001,-0.3%
31,IBM,IBM,0.5%,307.45999999999998,22.460000000000001,-7.9%
32,Cisco,CSCO,0.4%,70.629999999999995,0.35999999999999999,-0.5%
33,Wells Fargo,WFC,0.4%,86.409999999999997,1.95,-2.3%
34,Morgan Stanley,MS,0.4%,163.86000000000001,4.5499999999999998,-2.9%
35,American Express,AXP,0.4%,357.56,2.6299999999999999,-0.7%
36,Micron Technology,MU,0.4%,219.02000000000001,12.31,-6.0%
37,Philip Morris International,PM,0.4%,157.62,-0.080000000000000001665,-0.1%
38,Caterpillar Inc.,CAT,0.4%,522.73000000000002,2.23,-0.4%
39,T-Mobile US,TMUS,0.4%,217.77000000000001,-2.2200000000000002,-1.0%
40,Salesforce,CRM,0.4%,254.83000000000001,-0.22,-0.1%
41,Goldman Sachs,GS,0.4%,783.88,33.100000000000001,-4.4%
42,RTX Corporation,RTX,0.4%,178.65000000000001,-0.79000000000000004,-0.4%
43,Abbott Laboratories,ABT,0.4%,126.84999999999999,0.51000000000000001,-0.4%
44,Merck & Co.,MRK,0.4%,87.489999999999995,0.31,-0.4%
45,McDonald's,MCD,0.4%,305.79000000000002,-1.1799999999999999,-0.4%
46,Thermo Fisher Scientific,TMO,0.4%,572.5,0.58999999999999997,-0.1%
47,AppLovin Corporation,APP,0.3%,620,30.300000000000001,-5.1%
48,Linde plc,LIN,0.3%,446,-4.0800000000000001,-0.9%
49,PepsiCo,PEP,0.3%,151.55000000000001,0.04000000000000000083,-0.0%
50,Walt Disney Company (The),DIS,0.3%,111.68000000000001,-1.3500000000000001,-1.2%
51,Uber,UBER,0.3%,94.069999999999993,-0.54000000000000004,-0.6%
52,Intuitive Surgical,ISRG,0.3%,546.50999999999999,-4.79,-0.9%
53,Arista Networks,ANET,0.3%,153.81999999999999,1.0600000000000001,-0.7%
54,ServiceNow,NOW,0.3%,930.16999999999996,-9,-1.0%
55,Lam Research,LRCX,0.3%,151.68000000000001,4.1399999999999997,-2.8%
56,Intuit,INTU,0.3%,683.09000000000003,5.3700000000000001,-0.8%
57,Qualcomm,QCOM,0.3%,168.94,-1.0900000000000001,-0.6%
